MONTH,BRK_CDE,TRAN_CDE,TRAN_ORG_SOURCE,DESIG_CDE,ACC_TYP_CDE,SETT_TYP_CDE,CLNT_TYP,INSTR_TYP,INCL_LINES,REC_CNT
201611,4,A1,N/A     ,N/A,N/A,N/A,N/A,N/A,N,2
201611,4,BA,BDDLADJ ,N/A,C ,N,O,E,N,1
201611,4,BA,BDDLADJ ,N/A,C ,N,O,E,Y,1
201611,4,BA,BDDLADJ ,N/A,DA,S,O,E,N,3
201611,4,BA,BDDLADJ ,N/A,DA,S,O,E,Y,3
201611,4,BD,BDRTMDL2,N/A,C ,N,O,E,N,26
201611,4,BD,BDRTMDL2,N/A,C ,N,O,E,Y,26
201611,4,BD,BDRTMDL2,N/A,DA,S,O,E,N,26
201611,4,BD,BDRTMDL2,N/A,DA,S,O,E,Y,26
201611,4,BE,BDDLSUPD,N/A,DA,S,O,E,N,81
201611,4,BE,BDDLSUPD,N/A,DA,S,O,E,Y,9240
201611,4,BE,BDDLSUPD,N/A,EN,S,O,E,N,89
201611,4,BE,BDDLSUPD,N/A,EN,S,O,E,Y,12196
201611,4,BE,BDRTMDLS,N/A,DA,S,O,E,N,65
201611,4,BE,BDRTMDLS,N/A,DA,S,O,E,Y,2956
201611,4,BP,BDDLPRE ,N/A,C ,N,O,E,N,1
201611,4,BP,BDDLPRE ,N/A,C ,N,O,E,Y,1
201611,4,BP,BDDLPRE ,N/A,DA,S,O,E,N,7
201611,4,BP,BDDLPRE ,N/A,DA,S,O,E,Y,7
201611,4,BP,BDRTMDL4,N/A,C ,N,O,E,N,83
201611,4,BP,BDRTMDL4,N/A,C ,N,O,E,Y,83
201611,4,BP,BDRTMDL4,N/A,DA,S,O,E,N,83
201611,4,BP,BDRTMDL4,N/A,DA,S,O,E,Y,83
201611,4,BR,BDDLADJ ,N/A,C ,N,O,E,N,3
201611,4,BR,BDDLADJ ,N/A,C ,N,O,E,Y,3
201611,4,BR,BDDLADJ ,N/A,DA,S,O,E,N,1
201611,4,BR,BDDLADJ ,N/A,DA,S,O,E,Y,1
201611,4,CP,BDBNKOV ,  ,N/A,N/A,N/A,N/A,N,16
201611,4,CP,BDCSHPT ,  ,N/A,N/A,N/A,N/A,N,64
201611,4,CP,BDFININS,  ,N/A,N/A,N/A,N/A,N,12
201611,4,CR,BDBNKOV ,  ,N/A,N/A,N/A,N/A,N,16
201611,4,CR,BDCSHRT ,  ,N/A,N/A,N/A,N/A,N,8
201611,4,CR,BDFININS,  ,N/A,N/A,N/A,N/A,N,12
201611,4,CR,BDFINUPD,  ,N/A,N/A,N/A,N/A,N,40
201611,4,CR,BDSFSTL ,  ,N/A,N/A,N/A,N/A,N,89
201611,4,CR,BDSFSTL ,  ,EN,S,O,N/A,N,89
201611,4,DB,BDSCRRTS,N/A,C ,N,O,E,N,108
201611,4,DB,BDSCRRTS,N/A,DA,S,O,E,N,81
201611,4,DC,BDAUTCTA,N/A,C ,N,O,E,N,6
201611,4,DC,BDAUTCTA,N/A,DA,S,O,E,N,342
201611,4,DN,BDBRKNET,N/A,EN,S,O,E,N,89
201611,4,DO,BDBRKNET,N/A,EN,S,O,E,N,203
201611,4,DO,BDBRKNET,N/A,ES,S,O,E,N,222
201611,4,DV,BDDLVAL ,N/A,DA,S,O,E,N,34
201611,4,ER,BDNCSUB ,N/A,EN,S,O,E,N,3
201611,4,ER,BDNCSUB ,N/A,ES,S,O,E,N,3
201611,4,ES,BDSFSTL ,N/A,C ,N,O,E,N,108
201611,4,ES,BDSFSTL ,N/A,EN,S,O,E,N,89
201611,4,ES,BDSFSTL ,N/A,ES,S,O,E,N,108
201611,4,EU,BDNCSUB ,N/A,EN,S,O,E,N,111
201611,4,EU,BDNCSUB ,N/A,ES,S,O,E,N,111
201611,4,J ,BDAUTOXF,  ,N/A,N/A,N/A,N/A,N,9
201611,4,J ,BDAUTOXF,  ,DA,S,O,N/A,N,9
201611,4,J ,BDFININT,IN,N/A,N/A,N/A,N/A,N,1
201611,4,J ,BDFININT,IO,N/A,N/A,N/A,N/A,N,1
201611,4,J ,BDJNLUP ,  ,N/A,N/A,N/A,N/A,N,31
201611,4,TC,BDDLSSUM,  ,N/A,N/A,N/A,N/A,N,41
201611,4,TG,BDDLSSUM,  ,N/A,N/A,N/A,N/A,N,58
201611,4,TG,BDFINSUM,  ,N/A,N/A,N/A,N/A,N,14
201611,5,CP,BDCSHPT ,  ,N/A,N/A,N/A,N/A,N,78
201611,5,CP,BDCSHPT ,  ,C ,C,O,N/A,N,54
201611,5,CR,BDCSHRT ,  ,N/A,N/A,N/A,N/A,N,104
201611,5,CR,BDCSHRT ,  ,C ,C,O,N/A,N,86
201611,5,TG,BDFINSUM,  ,N/A,N/A,N/A,N/A,N,20
201611,7,A1,N/A     ,N/A,N/A,N/A,N/A,N/A,N,4
201611,7,A2,N/A     ,N/A,N/A,N/A,N/A,N/A,N,8
201611,7,BA,BDDLADJ ,N/A,C ,C,I,E,N,1
201611,7,BA,BDDLADJ ,N/A,C ,C,I,E,Y,1
201611,7,BA,BDDLADJ ,N/A,C ,N,O,E,N,23
201611,7,BA,BDDLADJ ,N/A,C ,N,O,E,Y,23
201611,7,BA,BDDLADJ ,N/A,D ,S,O,E,N,1
201611,7,BA,BDDLADJ ,N/A,D ,S,O,E,Y,3
201611,7,BA,BDDLADJ ,N/A,DA,S,O,E,N,226
201611,7,BA,BDDLADJ ,N/A,DA,S,O,E,Y,286
201611,7,BA,BDDLADJ ,N/A,S ,S,O,E,N,5
201611,7,BA,BDDLADJ ,N/A,S ,S,O,E,Y,7
201611,7,BD,BDDLSUPD,N/A,DA,S,O,E,N,2
201611,7,BD,BDDLSUPD,N/A,DA,S,O,E,Y,2
201611,7,BD,BDDLSUPD,N/A,S ,S,O,E,N,2
201611,7,BD,BDDLSUPD,N/A,S ,S,O,E,Y,2
201611,7,BD,BDRTMDL2,N/A,C ,C,I,E,N,3
201611,7,BD,BDRTMDL2,N/A,C ,C,I,E,Y,3
201611,7,BD,BDRTMDL2,N/A,C ,C,O,E,N,7
201611,7,BD,BDRTMDL2,N/A,C ,C,O,E,Y,7
201611,7,BD,BDRTMDL2,N/A,C ,N,O,E,N,57
201611,7,BD,BDRTMDL2,N/A,C ,N,O,E,Y,57
201611,7,BD,BDRTMDL2,N/A,DA,S,O,E,N,66
201611,7,BD,BDRTMDL2,N/A,DA,S,O,E,Y,71
201611,7,BD,BDRTMDLS,N/A,C ,C,I,E,N,2
201611,7,BD,BDRTMDLS,N/A,C ,C,I,E,Y,2
201611,7,BD,BDRTMDLS,N/A,C ,C,O,E,N,4
201611,7,BD,BDRTMDLS,N/A,C ,C,O,E,Y,4
201611,7,BD,BDRTMDLS,N/A,C ,N,O,E,N,22
201611,7,BD,BDRTMDLS,N/A,C ,N,O,E,Y,22
201611,7,BD,BDRTMDLS,N/A,DA,S,O,E,N,19
201611,7,BD,BDRTMDLS,N/A,DA,S,O,E,Y,28
201611,7,BE,BDDLSUPD,N/A,C ,C,I,E,N,23
201611,7,BE,BDDLSUPD,N/A,C ,C,I,E,Y,29
201611,7,BE,BDDLSUPD,N/A,C ,C,O,E,N,3
201611,7,BE,BDDLSUPD,N/A,C ,C,O,E,Y,3
201611,7,BE,BDDLSUPD,N/A,D ,S,O,E,N,1
201611,7,BE,BDDLSUPD,N/A,D ,S,O,E,Y,1
201611,7,BE,BDDLSUPD,N/A,DA,S,O,E,N,12
201611,7,BE,BDDLSUPD,N/A,DA,S,O,E,Y,12
201611,7,BE,BDDLSUPD,N/A,EN,S,O,E,N,506
201611,7,BE,BDDLSUPD,N/A,EN,S,O,E,Y,9851
201611,7,BE,BDDLSUPD,N/A,S ,S,O,E,N,2
201611,7,BE,BDDLSUPD,N/A,S ,S,O,E,Y,2
201611,7,BE,BDRTMDLS,N/A,C ,C,I,E,N,125
201611,7,BE,BDRTMDLS,N/A,C ,C,I,E,Y,242
201611,7,BE,BDRTMDLS,N/A,C ,C,O,E,N,18
201611,7,BE,BDRTMDLS,N/A,C ,C,O,E,Y,74
201611,7,BE,BDRTMDLS,N/A,D ,S,O,E,N,3
201611,7,BE,BDRTMDLS,N/A,D ,S,O,E,Y,23
